concept_id	concept_key	term_pl	keyword_norm_pl
306	pointer_based_memory	pamięć pointer-based	pamięć pointer-based
105	foundations_of_information_technology	fundamentowanie IT	fundamentowanie it
287	open_loops	otwarte loopy	otwarte loopy
280	limited_memory	pamięć „złotej rybki”	pamięć „złotej rybki”
325	adult_role_impostor_feelings	udawanie dorosłego	udawanie dorosłego
33	bimodal_speech_pattern	mówienie za mało albo za dużo	mówienie za mało albo za dużo
421	schemas	schemat-based	schemat-based
38	source_attribution_error	polaroidy babci Genowefy	polaroidy babci genowefy
147	positive_instructions	pisz pozytywnie	pisz pozytywnie
14	truth_arbiter	arbitr prawdy	arbitr prawdy
