audio_number	audio_id	youtube_video_id	audio_artist	audio_title	audio_artist_parsed	audio_title_parsed	candidate_utwu_id	candidate_spotify_order	candidate_artist	candidate_title	candidate_artist_parsed	candidate_title_parsed	score	artist_score	title_score	gap_to_second	quality	second_utwu_id	second_artist	second_title	second_score
157	audio-0157	mQs9TScZulk	Męskie Granie Orkiestra 2014 (Brodka, Deriglasoff, Emade, Podsiadło, Smolik)	Elektryczny	meskie granie orkiestra 2014 brodka deriglasoff emade podsiadlo smolik	elektryczny	utwu-000773	166	Smolik, Brodka, Dawid Podsiadło	Elektryczny	smolik | brodka | dawid podsiadło	elektryczny	0.7510	0.4466	1.0000	0.3455	review	utwu-000802	Męskie Granie Orkiestra 2018, Kortez, Dawid Podsiadło, Krzysztof Zalewski	Początek	0.4055
160	audio-0160	b16vSZMJ13k	Sidney Polak	Otwieram Wino [Official Music Video]	sidney polak	otwieram wino official music video	utwu-000776	163	Sidney Polak, Pezet	Otwieram wino (feat. Pezet)	sidney polak | pezet	otwieram wino feat pezet	0.7240	0.7500	0.7027	0.2507	review	utwu-000354	Slackwax	On the Road Again	0.4733
165	audio-0165	n7BkXebANI0	Tadeusz Woźniak	Zegarmistrz światła - Royal Albert Hall	tadeusz wozniak	zegarmistrz swiatla royal albert hall	utwu-000782	157	Tadeusz Wozniak	Zegarmistrz swiatla	tadeusz wozniak	zegarmistrz swiatla	0.8232	1.0000	0.6786	0.4364	medium	utwu-000703	Ran Nir	I Am With You - Alt-Mix By Ran Nir	0.3868
168	audio-0168	V6HaijesNEE	Hooverphonic	Vinegar & Salt (Live at Koningin Elisabethzaal 2012)	hooverphonic	vinegar salt live at koningin elisabethzaal 2012	utwu-000775	164	Hooverphonic	Heartbroken - Live at Koningin Elisabethzaal 2012	hooverphonic	heartbroken live at koningin elisabethzaal 2012	0.9132	1.0000	0.8421	0.0095	review	utwu-000751	Hooverphonic	Mad About You - Live at Koningin Elisabethzaal 2012	0.9036
176	audio-0176	Gy1aSTZo0wA	KORTEZ	Z Imbirem [VIDEO - LIVE]	kortez	z imbirem video live	utwu-000792	147	Kortez	Z imbirem	kortez	z imbirem	0.8804	1.0000	0.7826	0.3304	medium	utwu-000789	Kortez	Niby nic	0.5500
179	audio-0179	4ylyZ_2FaHs	Daniel Bloom feat. Gaba Kulka	How We Disappear [Official Music Video]	daniel bloom feat gaba kulka	how we disappear official music video	utwu-000795	144	Daniel Bloom, Gaba Kulka	How We Disappear (feat. Gaba Kulka)	daniel bloom | gaba kulka	how we disappear feat gaba kulka	0.7742	0.9057	0.6667	0.3634	review	utwu-000470	Roseaux, Melissa Laveaux	You Can Discover	0.4108
180	audio-0180	2P78nxoE_JY	Hooverphonic	Anger Never Dies	hooverphonic	anger never dies	utwu-000796	143	Hooverphonic	Anger Never Dies - Live at Koningin Elisabethzaal 2012	hooverphonic	anger never dies live at koningin elisabethzaal 2012	0.7088	1.0000	0.4706	0.0624	review	utwu-000762	Hooverphonic	Lethal Skies	0.6464
185	audio-0185	ZJSQxbedplM	Hooverphonic	2 Wicky (Live at Koningin Elisabethzaal 2012)	hooverphonic	2 wicky live at koningin elisabethzaal 2012	utwu-000751	188	Hooverphonic	Mad About You - Live at Koningin Elisabethzaal 2012	hooverphonic	mad about you live at koningin elisabethzaal 2012	0.9043	1.0000	0.8261	0.0021	review	utwu-000775	Hooverphonic	Heartbroken - Live at Koningin Elisabethzaal 2012	0.9022
197	audio-0197	2nI9GJbZcnM	The Magic Mumble Jumble	"""Show Your Love"" (Live at Burg Herzberg festival)"	the magic mumble jumble	show your love live at burg herzberg festival	utwu-000814	125	The Magic Mumble Jumble	Show Your Love	the magic mumble jumble	show your love	0.7110	1.0000	0.4746	0.1066	review	utwu-000274	The Magic Mumble Jumble	Don’t Forget	0.6044
199	audio-0199	2Qs1J612nZs	Dave Brubeck	Golden Brown	dave brubeck	golden brown	utwu-000853	86	The Secret Sea	Golden Brown	the secret sea	golden brown	0.6885	0.3077	1.0000	0.0000	review	utwu-000641	The Stranglers	Golden Brown	0.6885
200	audio-0200	If-W2suzy_k	Kyril Kondrashin, Moscow RTV Large Symphony Orcherstra	Symphony No. 5 in C-Sharp Minor: I. Trauermarsch (Funeral March)	kyril kondrashin moscow rtv large symphony orcherstra	symphony no 5 in c sharp minor i trauermarsch funeral march	utwu-000817	122	Gustav Mahler, Berliner Philharmoniker, Bernard Haitink	Symphony No. 5 in C-Sharp Minor: I. Trauermarsch (Funeral March)	gustav mahler | berliner philharmoniker | bernard haitink	symphony no 5 in c sharp minor i trauermarsch funeral march	0.6236	0.1636	1.0000	0.1645	review	utwu-000013	Gustav Mahler, Uri Caine Ensemble	Symphony No. 5: Funeral March	0.4591
