number	source_filename	artist_original	artist_normalized	artist_parsed	title_original	title_normalized	title_parsed	youtube_video_id
151	0151 - HooverphonicMusic - Hooverphonic - Amalfi (Official Video) [1fDdcrs9X10].webm	HooverphonicMusic	hooverphonicmusic	hooverphonicmusic	Hooverphonic - Amalfi (Official Video)	hooverphonic - amalfi (official video)	hooverphonic amalfi official video	1fDdcrs9X10
152	0152 - Brodka - Mirror Mirror [OJnIb5zA1RQ].webm	Brodka	brodka	brodka	Mirror Mirror	mirror mirror	mirror mirror	OJnIb5zA1RQ
153	0153 - Ojciec86 - Coma - Leszek Zukowski [B8yz5la6PG4].webm	Ojciec86	ojciec86	ojciec86	Coma - Leszek Zukowski	coma - leszek zukowski	coma leszek zukowski	B8yz5la6PG4
154	0154 - widow666maker - Kombi - Słodkiego Miłego Życia (HQ) [XqmUVs7wAIA].webm	widow666maker	widow666maker	widow666maker	Kombi - Słodkiego Miłego Życia (HQ)	kombi - słodkiego miłego życia (hq)	kombi słodkiego miłego zycia hq	XqmUVs7wAIA
155	0155 - Natalia Przybysz - Natalia Przybysz - Dzieci Malarzy [Official Audio] [05PUVXgZI9g].webm	Natalia Przybysz	natalia przybysz	natalia przybysz	Natalia Przybysz - Dzieci Malarzy [Official Audio]	natalia przybysz - dzieci malarzy [official audio]	natalia przybysz dzieci malarzy official audio	05PUVXgZI9g
156	0156 - Mystic Production TV - Sorry Boys - Absolutnie, absolutnie (official single) [L_JjrcAGW4o].webm	Mystic Production TV	mystic production tv	mystic production tv	Sorry Boys - Absolutnie, absolutnie (official single)	sorry boys - absolutnie, absolutnie (official single)	sorry boys absolutnie absolutnie official single	L_JjrcAGW4o
157	0157 - MeskieGranie - Męskie Granie Orkiestra 2014 (Brodka, Deriglasoff, Emade, Podsiadło, Smolik) - Elektryczny [mQs9TScZulk].webm	MeskieGranie	meskiegranie	meskiegranie	Męskie Granie Orkiestra 2014 (Brodka, Deriglasoff, Emade, Podsiadło, Smolik) - Elektryczny	męskie granie orkiestra 2014 (brodka, deriglasoff, emade, podsiadło, smolik) - elektryczny	meskie granie orkiestra 2014 brodka deriglasoff emade podsiadło smolik elektryczny	mQs9TScZulk
158	0158 - Republika - Telefony (Live) [WcwZcqeGccw].webm	Republika	republika	republika	Telefony (Live)	telefony (live)	telefony live	WcwZcqeGccw
159	0159 - HooverphonicMusic - Hooverphonic - Heartbroken (Live at Koningin Elisabethzaal 2012) [AazC2TJuRNU].webm	HooverphonicMusic	hooverphonicmusic	hooverphonicmusic	Hooverphonic - Heartbroken (Live at Koningin Elisabethzaal 2012)	hooverphonic - heartbroken (live at koningin elisabethzaal 2012)	hooverphonic heartbroken live at koningin elisabethzaal 2012	AazC2TJuRNU
160	0160 - Sidney Polak - Sidney Polak - Otwieram Wino [Official Music Video] [b16vSZMJ13k].webm	Sidney Polak	sidney polak	sidney polak	Sidney Polak - Otwieram Wino [Official Music Video]	sidney polak - otwieram wino [official music video]	sidney polak otwieram wino official music video	b16vSZMJ13k
161	0161 - The Dumplings - The Dumplings - Betonowy Las [Official Music Video] [GqZxi3nonqQ].webm	The Dumplings	the dumplings	the dumplings	The Dumplings - Betonowy Las [Official Music Video]	the dumplings - betonowy las [official music video]	the dumplings betonowy las official music video	GqZxi3nonqQ
162	0162 - Brodka - Brodka - Varsovie (Official Video) [m5CE1yPDxAs].webm	Brodka	brodka	brodka	Brodka - Varsovie (Official Video)	brodka - varsovie (official video)	brodka varsovie official video	m5CE1yPDxAs
163	0163 - agnethafan - Izabela Trojanowska ⧸ Wszystko czego dziś chcę [olkNnmhMj7Y].webm	agnethafan	agnethafan	agnethafan	Izabela Trojanowska ⧸ Wszystko czego dziś chcę	izabela trojanowska ⧸ wszystko czego dziś chcę	izabela trojanowska wszystko czego dzis chce	olkNnmhMj7Y
164	0164 - S.P. RECORDS - KULT - Wódka [OFFICIAL AUDIO] [wU2Y1k26YmU].webm	S.P. RECORDS	s.p. records	s p records	KULT - Wódka [OFFICIAL AUDIO]	kult - wódka [official audio]	kult wodka official audio	wU2Y1k26YmU
165	0165 - Tadeusz Woźniak - Tadeusz Woźniak： Zegarmistrz światła - Royal Albert Hall [n7BkXebANI0].webm	Tadeusz Woźniak	tadeusz woźniak	tadeusz wozniak	Tadeusz Woźniak： Zegarmistrz światła - Royal Albert Hall	tadeusz woźniak: zegarmistrz światła - royal albert hall	tadeusz wozniak zegarmistrz swiatła royal albert hall	n7BkXebANI0
166	0166 - ART2 Music - FISZ EMADE TWORZYWO - Telefon [h-6N1Oxoo4o].webm	ART2 Music	art2 music	art2 music	FISZ EMADE TWORZYWO - Telefon	fisz emade tworzywo - telefon	fisz emade tworzywo telefon	h-6N1Oxoo4o
167	0167 - Brennnessel Records - Oxford Drama - What Matters [QFm1WW_usIQ].webm	Brennnessel Records	brennnessel records	brennnessel records	Oxford Drama - What Matters	oxford drama - what matters	oxford drama what matters	QFm1WW_usIQ
168	0168 - HooverphonicMusic - Hooverphonic - Vinegar & Salt (Live at Koningin Elisabethzaal 2012) [V6HaijesNEE].webm	HooverphonicMusic	hooverphonicmusic	hooverphonicmusic	Hooverphonic - Vinegar & Salt (Live at Koningin Elisabethzaal 2012)	hooverphonic - vinegar & salt (live at koningin elisabethzaal 2012)	hooverphonic vinegar salt live at koningin elisabethzaal 2012	V6HaijesNEE
169	0169 - Mystic Production TV - Julia Marcell - Matrioszka (official video) [o3V3SIoBw94].webm	Mystic Production TV	mystic production tv	mystic production tv	Julia Marcell - Matrioszka (official video)	julia marcell - matrioszka (official video)	julia marcell matrioszka official video	o3V3SIoBw94
170	0170 - KayaxTV - Swiernalis - Ptak (Official Audio) [tW8auNhHhOk].webm	KayaxTV	kayaxtv	kayaxtv	Swiernalis - Ptak (Official Audio)	swiernalis - ptak (official audio)	swiernalis ptak official audio	tW8auNhHhOk
171	0171 - Muzyka Góralska - IRA - Nadzieja [RglHb09IZVM].webm	Muzyka Góralska	muzyka góralska	muzyka goralska	IRA - Nadzieja	ira - nadzieja	ira nadzieja	RglHb09IZVM
172	0172 - Kortez Oficjalny Kanał - Kortez - Niby nic (Official Audio) [ieJLfwXACCo].webm	Kortez Oficjalny Kanał	kortez oficjalny kanał	kortez oficjalny kanał	Kortez - Niby nic (Official Audio)	kortez - niby nic (official audio)	kortez niby nic official audio	ieJLfwXACCo
173	0173 - KayaxTV - Artur Rojek - Długość dźwięku samotności (Official Live Video) [vvOGvk92-9s].webm	KayaxTV	kayaxtv	kayaxtv	Artur Rojek - Długość dźwięku samotności (Official Live Video)	artur rojek - długość dźwięku samotności (official live video)	artur rojek długosc dzwieku samotnosci official live video	vvOGvk92-9s
174	0174 - HooverphonicMusic - Hooverphonic - Uptight [CC44zj44TRo].webm	HooverphonicMusic	hooverphonicmusic	hooverphonicmusic	Hooverphonic - Uptight	hooverphonic - uptight	hooverphonic uptight	CC44zj44TRo
175	0175 - Lady Pank - Na co komu dziś [l_AS1FWcLYI].webm	Lady Pank	lady pank	lady pank	Na co komu dziś	na co komu dziś	na co komu dzis	l_AS1FWcLYI
176	0176 - Kortez Oficjalny Kanał - KORTEZ - Z Imbirem [VIDEO - LIVE] [Gy1aSTZo0wA].webm	Kortez Oficjalny Kanał	kortez oficjalny kanał	kortez oficjalny kanał	KORTEZ - Z Imbirem [VIDEO - LIVE]	kortez - z imbirem [video - live]	kortez z imbirem video live	Gy1aSTZo0wA
177	0177 - KayaxTV - Patrick The Pan - Pikselove (Official Video) [efC-MCxvexk].webm	KayaxTV	kayaxtv	kayaxtv	Patrick The Pan - Pikselove (Official Video)	patrick the pan - pikselove (official video)	patrick the pan pikselove official video	efC-MCxvexk
178	0178 - karrotkommando - Pablopavo i Ludziki - Ostatni dzień sierpnia (Official Video) [Ol0lWhzy6TM].webm	karrotkommando	karrotkommando	karrotkommando	Pablopavo i Ludziki - Ostatni dzień sierpnia (Official Video)	pablopavo i ludziki - ostatni dzień sierpnia (official video)	pablopavo i ludziki ostatni dzien sierpnia official video	Ol0lWhzy6TM
179	0179 - Daniel Bloom - Daniel Bloom feat. Gaba Kulka - How We Disappear [Official Music Video] [4ylyZ_2FaHs].webm	Daniel Bloom	daniel bloom	daniel bloom	Daniel Bloom feat. Gaba Kulka - How We Disappear [Official Music Video]	daniel bloom feat. gaba kulka - how we disappear [official music video]	daniel bloom feat gaba kulka how we disappear official music video	4ylyZ_2FaHs
180	0180 - HooverphonicMusic - Hooverphonic - Anger Never Dies [2P78nxoE_JY].webm	HooverphonicMusic	hooverphonicmusic	hooverphonicmusic	Hooverphonic - Anger Never Dies	hooverphonic - anger never dies	hooverphonic anger never dies	2P78nxoE_JY
181	0181 - NextpopLabel - FISMOLL - Trifle (Official Video) [eRqOxxyHN28].webm	NextpopLabel	nextpoplabel	nextpoplabel	FISMOLL - Trifle (Official Video)	fismoll - trifle (official video)	fismoll trifle official video	eRqOxxyHN28
182	0182 - Brodka - Brodka - Holy Holes (Official Video) [I0deTzn9Cbw].webm	Brodka	brodka	brodka	Brodka - Holy Holes (Official Video)	brodka - holy holes (official video)	brodka holy holes official video	I0deTzn9Cbw
183	0183 - Hooverphonic - No More Sweet Music [BU5AJ2_kJ-Q].webm	Hooverphonic	hooverphonic	hooverphonic	No More Sweet Music	no more sweet music	no more sweet music	BU5AJ2_kJ-Q
184	0184 - Daria Zawiałow - Daria Zawiałow - Szarówka [NfSGMnl_9NE].webm	Daria Zawiałow	daria zawiałow	daria zawiałow	Daria Zawiałow - Szarówka	daria zawiałow - szarówka	daria zawiałow szarowka	NfSGMnl_9NE
185	0185 - HooverphonicMusic - Hooverphonic - 2 Wicky (Live at Koningin Elisabethzaal 2012) [ZJSQxbedplM].webm	HooverphonicMusic	hooverphonicmusic	hooverphonicmusic	Hooverphonic - 2 Wicky (Live at Koningin Elisabethzaal 2012)	hooverphonic - 2 wicky (live at koningin elisabethzaal 2012)	hooverphonic 2 wicky live at koningin elisabethzaal 2012	ZJSQxbedplM
186	0186 - Brodka - Bez tytulu [1rf72slI27g].webm	Brodka	brodka	brodka	Bez tytulu	bez tytulu	bez tytulu	1rf72slI27g
187	0187 - HooverphonicMusic - Hooverphonic - Horrible Person [re22d3fY-Gk].webm	HooverphonicMusic	hooverphonicmusic	hooverphonicmusic	Hooverphonic - Horrible Person	hooverphonic - horrible person	hooverphonic horrible person	re22d3fY-Gk
188	0188 - Zbigniew Preisner - Kai kairos [F1PMqX0wCx8].webm	Zbigniew Preisner	zbigniew preisner	zbigniew preisner	Kai kairos	kai kairos	kai kairos	F1PMqX0wCx8
189	0189 - KayaxTV - Maria Peszek - Maria Awaria (Official Audio) [sUlb7f3jEnk].webm	KayaxTV	kayaxtv	kayaxtv	Maria Peszek - Maria Awaria (Official Audio)	maria peszek - maria awaria (official audio)	maria peszek maria awaria official audio	sUlb7f3jEnk
190	0190 - The White Stripes - The White Stripes - Seven Nation Army (Official Music Video) [0J2QdDbelmY].webm	The White Stripes	the white stripes	the white stripes	The White Stripes - Seven Nation Army (Official Music Video)	the white stripes - seven nation army (official music video)	the white stripes seven nation army official music video	0J2QdDbelmY
192	0192 - Hugh Laurie - Let Them Talk [V5z_LOrPqZE].webm	Hugh Laurie	hugh laurie	hugh laurie	Let Them Talk	let them talk	let them talk	V5z_LOrPqZE
193	0193 - Diablo Swing Orchestra - Balrog Boogie [oObi6HJMMu8].webm	Diablo Swing Orchestra	diablo swing orchestra	diablo swing orchestra	Balrog Boogie	balrog boogie	balrog boogie	oObi6HJMMu8
195	0195 - Diablo Swing Orchestra - Diablo Swing Orchestra - Speed Dating an Arsonist (Official Music Video) [UHeMHkPyNQ0].webm	Diablo Swing Orchestra	diablo swing orchestra	diablo swing orchestra	Diablo Swing Orchestra - Speed Dating an Arsonist (Official Music Video)	diablo swing orchestra - speed dating an arsonist (official music video)	diablo swing orchestra speed dating an arsonist official music video	UHeMHkPyNQ0
