audio_number	audio_id	youtube_video_id	audio_artist	audio_title	audio_artist_parsed	audio_title_parsed	candidate_utwu_id	candidate_spotify_order	candidate_artist	candidate_title	candidate_artist_parsed	candidate_title_parsed	score	artist_score	title_score	gap_to_second	quality	second_utwu_id	second_artist	second_title	second_score
255	audio-0255	8tpY2X2wWyQ	HURT	Załoga G (winyl już dostępny-link w komentarzu)	hurt	zaloga g winyl juz dostepny link w komentarzu	utwu-000605	334	Hurt	Załoga G	hurt	zaloga g	0.6700	1.0000	0.4000	0.3533	review	utwu-000626	Lou Reed	Walk On the Wild Side	0.3167
257	audio-0257	sndo_wdc384	Pink Floyd	Money (2011 Remastered)	pink floyd	money 2011 remastered	utwu-000607	332	Pink Floyd	Money - 2011 Remastered Version	pink floyd	money 2011 remastered version	0.9214	1.0000	0.8571	0.0110	review	utwu-000721	Pink Floyd	Marooned - 2011 Remaster	0.9105
260	audio-0260	o2JUFe9sND4	Lao Che	Wojenka (official single)	lao che	wojenka official single	utwu-000610	329	Lao Che	Wojenka	lao che	wojenka	0.8167	1.0000	0.6667	0.4122	medium	utwu-000250	Lao Che	Hydropiekłowstąpienie	0.4044
263	audio-0263	kseSoguuiCs	Eric Clapton	Layla [Unplugged...Over 30 Years Later] (Official Live Video)	eric clapton	layla unplugged over 30 years later official live video	utwu-000613	326	Eric Clapton	Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster	eric clapton	layla acoustic live at mtv unplugged bray film studios windsor england uk 1 16 1992 2013 remaster	0.7061	1.0000	0.4657	0.3546	review	utwu-000287	Barbara Carlotti	Cannes	0.3515
264	audio-0264	WGoDaYjdfSg	The Jimi Hendrix Experience	Purple Haze (Official Audio)	the jimi hendrix experience	purple haze official audio	utwu-000615	324	Jimi Hendrix	Purple Haze	jimi hendrix	purple haze	0.8250	0.7500	1.0000	0.3567	medium	utwu-000963	Jimi Hendrix	Hey Joe	0.4683
267	audio-0267	qoX6AKuYWL8	The Doors	Light My Fire (2017 Remaster)	the doors	light my fire 2017 remaster	utwu-000618	321	The Doors	Light My Fire	the doors	light my fire	0.8625	1.0000	0.7500	0.2159	medium	utwu-000622	The Doors	Riders on the Storm	0.6466
280	audio-0280	RA4ek4oQuIg	The Irrepressibles	In This Shirt (Royksopp Remix) [Official Art Track]	the irrepressibles	in this shirt royksopp remix official art track	utwu-000631	308	The Irrepressibles, Röyksopp	In This Shirt - Royksopp Remix	the irrepressibles royksopp	in this shirt royksopp remix	0.8792	0.7500	0.9848	0.1292	medium	utwu-000630	The Irrepressibles	In This Shirt	0.7500
285	audio-0285	mgWGR-g9mFQ	KORTEZ	Zostań [Oficjalny Klip]	kortez	zostan oficjalny klip	utwu-000636	303	Kortez	Zostań	kortez	zostan	0.8167	1.0000	0.6667	0.3267	medium	utwu-000174	Kortez	Hej wy	0.4900
294	audio-0294	na47wMFfQCo	America	A Horse With No Name (Official Audio)	america	a horse with no name official audio	utwu-000646	293	America, George Martin	A Horse with No Name	america george martin	a horse with no name	0.8875	0.7500	1.0000	0.4391	medium	utwu-000430	Skáld	Rún	0.4484
295	audio-0295	SgXSomPE_FY	B.B. King	The Thrill Is Gone [Crossroads 2010] (Official Live Video)	b b king	the thrill is gone crossroads 2010 official live video	utwu-000647	292	B.B. King	The Thrill Is Gone	b b king	the thrill is gone	0.8167	1.0000	0.6667	0.3452	medium	utwu-000287	Barbara Carlotti	Cannes	0.4714
