lyrics_id,lyrics_text
lyrics-000797,"The drugs do work
They keep us busy and aloof
Your lies do work
'cause we're all so short of time
You're losing heart
Don't you think I see this all the time?
The drugs do work
The drugs do work
The drugs do work

It looks right from the distance
But the killer is in your arms It
feels good while you're at it
But all you do is harm

The drugs do work
You feed us new stuff every day
Who's got the time
To verify everything you say
Just serve us well
Your pre-digested food
The drugs do work
The drugs do work

It looks right from the distance
But the killer is in your arms
It feels good while you're at it
But all you do is harm"
lyrics-000798,"Sa me amala oro kelana
Oro kelana, dive kerna
Sa o Roma daje
Sa o Roma babo babo
Sa o Roma o daje
Sa o Roma babo babo Ederlezi, Ederlezi
Sa o Roma daje

Sa o Roma babo, e bakren chinen
A me chorro, dural vesava
Romano dive, amaro dive
Amaro dive, Ederlezi

Ediwado babo, amenge bakro..."
lyrics-000799,"I need to find a new obsession
The last one didn't end so well
Turned out that I was just a pusher
Bet you a fix you couldn't tell

And they just launched a brand new platform
So you could buy a better deal
And it's in perfect resolution
But would it change the way you feel?

Just give me something I could die for
Take me somewhere you could kill
And light the way with fame and glory
There is no such thing as ""real""

I need to find a new obsession

They say to take it after breakfast
And don't take more than just a few
So that you don't end up all crazy
We still want you to stay you

Cause it's important that you stay here
And that you find something to do
And that you keep up with the fashion
Because if it's not you then who?

Just give me something I could die for
Take me somewhere you could kill
And light the way with fame and glory
There is no such thing as ""real""

I need to find a new obsession"
lyrics-000800,"Hide me, early in the morning
No word of warning
Of what's to come
I'll follow, wherever you take me
Wherever fate leads
Me down to go

Take me, take me out of the water
Guide me to the border
And see me home
Guard me, steer me through the wasteland
I can be a shadow
That sails with you

Let me leave here alive
Shine on, my guiding light
Let me leave here, alive

Hold me, 'til I grow weightless
Navigate the darkness
So far from here

Light up, all that's uncertain
Is that heaven, waiting?
For me above

Let me leave here, alive
Shine on, my guiding light
Let me leave here alive"
lyrics-000801,"Who's creeping round the corner?
Who's never up to good?
Who's hoping no one finds out?
Carried away, carried away

Who's hoping for the future?
Who's dreaming of the past?
Who's always in the presence?
Carried away, carried away

Who's holding onto someone
Who's hiding how they feel?
Who's slightly maybe in love?
Carried away, carried away

Who's the one, the one they need
The one you hold in high regard
The one who knows and doesn't mind, well
Keep it that way, keep it that way

Keep it close, close, steady
You know who you are
What shoulder and what art
Could twist the sinews of the heart?

Keep it close, close, steady
You know who you are
What shoulder and what art
What shoulder and what
What shoulder and what art
What shoulder and what art
Could twist the sinews of thy heart?

Who's adding up the chances?
Who's closing up the deal?
Who's wishing they could go back
Back to the day, back to the day

Who's running things around here?
Who, may I ask, is this?
Who's dancing round the question?
Dancing away, dancing away?

Who's the one, the one in charge
The one who's calling all the shots
The one who knows and doesn't mind?
Give it away, give it away

Keep it close, close, steady
You know who you are
What shoulder and what art
Could twist the sinews of the heart?

Keep it close, close, steady
You know who you are
What shoulder and what art
Could twist the sinews of the heart?

Keep it close, close, steady
You know who you are
What shoulder and what art (who's the one, the one you need)
Could twist the sinews of the heart?

Keep it close, close, steady
You know who you are
What shoulder and what art
What shoulder and what
What shoulder and what art
What shoulder and what
What shoulder and what art..."
lyrics-000802,"Me istumme junassa
Vaunu kolisee raiteilla
Tää on pikajuna kuiluun

Me ahmimme kilometrejä
Tässä kuoleman koneessa
Takana palaa maa
Me pidämme hauskaa

Tää on viimeinen pikajuna kuiluun
Ja vaikka tulvii maa ja raiteet katoaa
Ei sitä meistä kukaan huomaa

Ei me kuulla, on nii hyvä tunnelma
Me sikailemme, syljeksimme
Elämää halveksimme silmät kiinni

Ja kun me syöksymme kaaressa
Ja kiskot lakkaavat kantamasta
Kuilun reunalta joku vielä huutaa
Että, ""Vittu, carpe diem!""

Tää on viimeinen pikajuna kuiluun
Me kylvämme tuhoa
Me tuhoamme maan ja juna yskii

Tää on viimeinen puhdistus
Nuori linkolai ja joku hippi huutaa
Että pysähtykää hullut

Mut ei me kuulla, on nii hyvä tunnelma
Me sikailemme, syljeksimme
Elämää halveksimme loppuun asti

Ja kun me syöksymme kaaressa
Ja kiskot lakkaavat kantamasta
Kuilun reunalta joku vielä huutaa
Että, ""Vittu, carpe diem!""

Ja kun me syöksymme kaaressa
Ja kiskot lakkaavat kantamasta
Kuilun reunalta joku vielä huutaa

Ja kun me syöksymme kaaressa
Ja kiskot lakkaavat kantamasta
Kuilun reunalta huudamme
Meidän jälkeemme hiljaisuus"
lyrics-000803,"Now that you're out of my life, so much better
Thought I would be weak without you, but I'm stronger
Thought I would be broke without you, but I'm richer
Thought I would be sad, I laugh harder
Thought I wouldn't grow without you, but I'm wiser
Thought I would be helpless, but I'm smarter
You thought I would be stressed out, but I'm chillin'
You thought I wouldn't sell, I sold 9 million

I'm a survivor
Not gonna give up
Not gonna stop
Gonna work harder
I'm a survivor
I'm gonna make it, Lord

Thought I couldn't breathe without you, I'm inhaling
Thought I couldn't see without you, perfect vision
Thought I couldn't last without you, I'm lasting
Thought I would die, but I'm livin'
Thought I would fail without you, but I'm on top
Thought it would be over by now, but it won't stop
Thought I would self destruct, but I'm still here
Even in my years to come, I'm gonna be here, Lord

I'm a survivor
Not gonna give up
Not gonna stop
Gonna work harder
I'm a survivor
I'm gonna make it, Lord

Wishing you the best
Pray that you are blessed
Much success, no stress

And lots of happiness
I'm better than that
Not gonna blast you on the radio
I'm better than that
Not gonna lie to you and your family
I'm better than that
Not gonna diss you on the internet

'Cause my mama taught me better than that

I'm a survivor
Not gonna give up
Not gonna stop
Gonna work harder
I'm a survivor
I'm gonna make it, Lord

And after all of the sadness and darkness
Soon comes happiness
I'm a survivor
Not gonna give up
Not gonna stop
Gonna work harder
I'm a survivor
I'm gonna make it, Lord
I'm a survivor, Lord"
lyrics-000804,"Deep inside your arms, it's a new day
Deep inside your arms, it's a new day
We meet between the sun and the moon and stars
We meet between the sun and the moon and stars

Deep inside your arms, it's a new day
Deep inside your arms, it's a new day
We meet between the sun and the moon and stars
We meet between the sun and the moon and stars"
lyrics-000805,"Vse lude v selie pudnialisie
Sełom sudiat mene
Razorvałoś, razsypałoś serce
Stała bolna mnie

Vse lude v selie pudnialisie
Sełom sudiat mene
Razorvałoś, razsypałoś serce
Stała bolna mnie

Vse lude v selie pudnialisie
Sełom sudiat mene
Razorvałoś, razsypałoś serce
Stała bolna mnie

Vse lude v selie pudnialisie
Sełom sudiat mene
Razorvałoś, razsypałoś serce
Stała bolna mnie

U srebrne lusterka uzirałasia
Da lička dzivavałasia
Oj ličku, dyj rumianku
Haruješ biez ustanku
U lusterka uzirałasia
Da lička dzivavałasia
Oj ličku, ty rumianku
Haruješ biez ustanku

Było b charašo zabyt' pra toje
Novyj dzień, bolše boli
Nowy dzień paranoji
Jak zahłušyt' hetu bol
Mnie treba pačuć ad nowa
Na sercy tolki choład
Okružaje paranoja, paranoja
Paranoja, paranoja

Rozohnajte dumki
Heta maja vina, ja słaba
Naivna, stomlena
V kletcy žyła, mnie bolna

Vse lude v selie pudnialisie
Sełom sudiat mene
Razorvałoś, razsypałoś serce
Stała bolna mnie

Vse lude v selie pudnialisie
Sełom sudiat mene
Razorvałoś, razsypałoś serce
Stała bolna mnie"
lyrics-000806,"There's something in the wind
Reminds me of the night you ran away
There's something in the air
Is true

The night that was overwhelming you
You boarded up your doors and drove
To desert lake to try and be alone
You said your dreams were giving sings

And you traveled all the back roads of your mind
Where are you now
I can't say

Do you think the badlands took your heart away
The story goes you couldn't take the heat
Forever shrouded in a mystery"
