dokument_kod	dokument_plik	dokument_tytul	url_stabilny	poziom	glebokosc	kolejnosc	sekcja_tytul	anchor	anchor_status	deep_link
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H1	1	1	Kolumbryna 🐙	kolumbryna	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#kolumbryna
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	2	Rozdział 1. Front i spirala OPL — trójkąt spalania	front-spirala-opl	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#front-spirala-opl
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	3	Rozdział 2. Arsenał nuklearny — odstraszanie na papierze	arsenal-nuklearny	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#arsenal-nuklearny
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	4	Rozdział 3. Budżet, NWF i paradoks Hormuz	budzet-nwf-hormuz	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#budzet-nwf-hormuz
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	5	Rozdział 4. Eksport, dewizy i majątek — co jeszcze działa	eksport-dewizy-majatek	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#eksport-dewizy-majatek
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	6	Rozdział 5. Infrastruktura się sypie — kolej, rury, samoloty	infrastruktura-kolej-rury-samoloty	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#infrastruktura-kolej-rury-samoloty
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	7	Rozdział 6. Społeczeństwo na krawędzi — brain drain, pensje, policja	spoleczenstwo-na-krawedzi	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#spoleczenstwo-na-krawedzi
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	8	Rozdział 7. Bestiariusz — 24 szare nosorożce i ich sprzężenia	bestiariusz-szare-nosorozce	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#bestiariusz-szare-nosorozce
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	9	Rozdział 8. Patologia informacyjna i dlaczego nie Korea Północna	patologia-informacyjna	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#patologia-informacyjna
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	10	Rozdział 9. Chemia pożarów, uzależnienie i sezonowość	chemia-pozarow-uzaleznienie-sezonowosc	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#chemia-pozarow-uzaleznienie-sezonowosc
